zip,demo,2015,2014,2013,2012,2011,2010,2009,total
60038,Asian Female,0,0,0,0,0,0,0,0
60046,Black Male,0,2,3,0,0,1,0,6
60046,Black Female,0,0,0,0,0,0,0,0
60046,White Male,0,0,1,0,0,0,0,1
60046,White Female,0,0,0,0,0,0,0,0
60046,Hispanic Male,0,0,0,0,0,0,0,0
60046,Hispanic Female,0,0,0,0,0,0,0,0
60046,Asian Male,0,0,0,0,0,0,0,0
60046,Asian Female,0,0,0,0,0,0,0,0
60053,Black Male,0,0,0,0,0,0,0,0
60053,Black Female,0,0,0,0,0,0,0,0
60053,White Male,0,0,0,1,0,0,0,1
60053,White Female,0,0,0,0,0,0,0,0
60053,Hispanic Male,0,0,0,0,0,0,0,0
60053,Hispanic Female,0,0,0,0,0,0,0,0
60053,Asian Male,0,0,0,0,0,0,0,0
60053,Asian Female,0,0,0,0,0,0,0,0
60056,Black Male,0,0,0,0,0,0,0,0
60056,Black Female,0,0,0,0,0,0,0,0
60056,White Male,0,0,0,1,0,0,1,2
60056,White Female,0,0,0,0,0,0,0,0
60056,Hispanic Male,1,0,0,2,0,0,1,4
60056,Hispanic Female,0,0,0,0,0,0,0,0
60056,Asian Male,0,0,0,0,0,0,0,0
60056,Asian Female,0,0,0,0,0,0,0,0
60061,Black Male,0,0,0,0,0,0,0,0
60061,Black Female,0,0,0,0,0,0,0,0
60061,White Male,0,0,0,0,0,0,0,0
60061,White Female,0,0,0,0,0,0,0,0
60061,Hispanic Male,0,0,0,0,0,0,0,0
60061,Hispanic Female,0,0,0,0,0,0,0,0
60061,Asian Male,0,0,0,0,0,0,0,0
60061,Asian Female,0,0,0,0,0,0,0,0
60064,Black Male,0,0,0,0,0,0,0,0
60064,Black Female,0,0,0,0,0,0,0,0
60064,White Male,0,0,0,0,0,0,0,0
60064,White Female,0,0,0,0,0,0,0,0
60064,Hispanic Male,2,0,0,1,0,0,0,3
60064,Hispanic Female,0,0,0,0,0,0,0,0
60064,Asian Male,0,0,0,0,0,0,0,0
60064,Asian Female,0,0,0,0,0,0,0,0
60070,Black Male,0,0,0,0,0,0,0,0
60070,Black Female,0,0,0,0,0,0,0,0
60070,White Male,0,0,0,0,0,0,0,0
60070,White Female,0,0,0,0,0,0,0,0
60070,Hispanic Male,2,1,2,0,0,0,1,6
60070,Hispanic Female,0,0,0,0,0,0,0,0
60070,Asian Male,0,0,0,0,0,0,0,0
60070,Asian Female,0,0,0,0,0,0,0,0
60073,Black Male,0,0,0,0,0,0,0,0
60073,Black Female,0,0,0,0,0,0,0,0
60073,White Male,0,0,0,0,0,0,0,0
60073,White Female,0,0,0,0,0,0,0,0
60073,Hispanic Male,0,0,0,1,0,0,0,1
60073,Hispanic Female,0,0,0,0,0,0,0,0
60073,Asian Male,0,0,0,0,0,0,0,0
60073,Asian Female,0,0,0,0,0,0,0,0
60074,Black Male,0,0,0,0,0,0,0,0
60074,Black Female,0,0,0,0,0,0,0,0
60074,White Male,0,0,0,0,0,0,0,0
60074,White Female,,0,0,0,0,0,0,0
60074,Hispanic Male,0,1,2,1,0,1,0,5
60074,Hispanic Female,0,0,0,0,0,0,0,0
60074,Asian Male,0,0,0,0,0,0,0,0
60074,Asian Female,0,0,0,0,0,0,0,0
60076,Black Male,0,0,0,0,0,0,1,1
60076,Black Female,0,0,0,0,0,0,0,0
60076,White Male,0,0,0,0,0,0,0,0
60076,White Female,0,0,0,0,0,0,0,0
60076,Hispanic Male,0,1,0,0,0,0,0,1
60076,Hispanic Female,0,0,0,0,0,0,0,0
60076,Asian Male,0,0,0,0,0,0,0,0
60076,Asian Female,0,0,0,0,0,0,0,0
60077,Black Male,0,0,1,2,0,0,0,3
60077,Black Female,0,0,1,0,0,0,0,1
60077,White Male,0,0,0,0,0,0,0,0
60077,White Female,0,0,0,0,0,0,0,0
60077,Hispanic Male,0,0,0,0,0,0,0,0
60077,Hispanic Female,0,0,0,0,0,0,0,0
60077,Asian Male,0,0,0,0,0,0,0,0
60077,Asian Female,0,0,0,0,0,0,0,0
60085,Black Male,0,0,2,0,0,1,2,5
60085,Black Female,0,0,0,1,0,0,0,1
60085,White Male,0,0,0,0,0,0,0,0
60085,White Female,0,0,0,0,0,0,0,0
60085,Hispanic Male,0,0,5,1,0,0,0,6
60085,Hispanic Female,0,0,0,0,0,0,0,0
60085,Asian Male,0,0,0,0,0,0,0,0
60085,Asian Female,0,0,0,0,0,0,0,0
60087,Black Male,3,1,2,1,1,2,0,10
60087,Black Female,0,0,0,0,0,0,0,0
60087,White Male,1,0,0,0,0,0,0,1
60087,White Female,0,0,0,0,1,0,0,1
60087,Hispanic Male,0,0,0,0,0,0,0,0
60087,Hispanic Female,0,0,0,0,0,0,0,0
60087,Asian Male,0,0,0,0,0,0,0,0
60087,Asian Female,0,0,0,0,0,0,0,0
60089,Black Male,0,0,1,0,0,0,0,1
